2025-05-11 09:41:59,092 - src.api_client.save_to_db - INFO - Ýlerleme: 2700/3522 (2700 baþarýlý, 0 hata)
2025-05-11 09:41:59,677 - src.api_client.save_to_db - INFO - Ýlerleme: 2800/3522 (2800 baþarýlý, 0 hata)
2025-05-11 09:42:00,292 - src.api_client.save_to_db - INFO - Ýlerleme: 2900/3522 (2900 baþarýlý, 0 hata)
2025-05-11 09:42:00,903 - src.api_client.save_to_db - INFO - Ýlerleme: 3000/3522 (3000 baþarýlý, 0 hata)
2025-05-11 09:42:01,522 - src.api_client.save_to_db - INFO - Ýlerleme: 3100/3522 (3100 baþarýlý, 0 hata)
2025-05-11 09:42:02,118 - src.api_client.save_to_db - INFO - Ýlerleme: 3200/3522 (3200 baþarýlý, 0 hata)
2025-05-11 09:42:02,763 - src.api_client.save_to_db - INFO - Ýlerleme: 3300/3522 (3300 baþarýlý, 0 hata)
2025-05-11 09:42:03,372 - src.api_client.save_to_db - INFO - Ýlerleme: 3400/3522 (3400 baþarýlý, 0 hata)
2025-05-11 09:42:04,076 - src.api_client.save_to_db - INFO - Ýlerleme: 3500/3522 (3500 baþarýlý, 0 hata)
2025-05-11 09:42:04,258 - src.api_client.save_to_db - INFO - Veritabanýna kayýt tamamlandý: 3522 baþarýlý, 0 hata
2025-05-11 19:06:54,558 - src.api_client.save_to_db - INFO - Veritabanýna kayýt baþlýyor: 3544 kamp alaný
2025-05-11 19:06:54,951 - src.api_client.save_to_db - INFO - Ýlerleme: 100/3544 (100 baþarýlý, 0 hata)
2025-05-11 19:06:55,253 - src.api_client.save_to_db - INFO - Ýlerleme: 200/3544 (200 baþarýlý, 0 hata)
2025-05-11 19:06:55,570 - src.api_client.save_to_db - INFO - Ýlerleme: 300/3544 (300 baþarýlý, 0 hata)
2025-05-11 19:06:55,886 - src.api_client.save_to_db - INFO - Ýlerleme: 400/3544 (400 baþarýlý, 0 hata)
2025-05-11 19:06:56,193 - src.api_client.save_to_db - INFO - Ýlerleme: 500/3544 (500 baþarýlý, 0 hata)
2025-05-11 19:06:56,497 - src.api_client.save_to_db - INFO - Ýlerleme: 600/3544 (600 baþarýlý, 0 hata)
2025-05-11 19:06:56,804 - src.api_client.save_to_db - INFO - Ýlerleme: 700/3544 (700 baþarýlý, 0 hata)
2025-05-11 19:06:57,118 - src.api_client.save_to_db - INFO - Ýlerleme: 800/3544 (800 baþarýlý, 0 hata)
2025-05-11 19:06:57,422 - src.api_client.save_to_db - INFO - Ýlerleme: 900/3544 (900 baþarýlý, 0 hata)
2025-05-11 19:06:57,729 - src.api_client.save_to_db - INFO - Ýlerleme: 1000/3544 (1000 baþarýlý, 0 hata)
2025-05-11 19:06:58,029 - src.api_client.save_to_db - INFO - Ýlerleme: 1100/3544 (1100 baþarýlý, 0 hata)
2025-05-11 19:06:58,350 - src.api_client.save_to_db - INFO - Ýlerleme: 1200/3544 (1200 baþarýlý, 0 hata)
2025-05-11 19:06:58,706 - src.api_client.save_to_db - INFO - Ýlerleme: 1300/3544 (1300 baþarýlý, 0 hata)
2025-05-11 19:06:59,081 - src.api_client.save_to_db - INFO - Ýlerleme: 1400/3544 (1400 baþarýlý, 0 hata)
2025-05-11 19:06:59,439 - src.api_client.save_to_db - INFO - Ýlerleme: 1500/3544 (1500 baþarýlý, 0 hata)
2025-05-11 19:06:59,769 - src.api_client.save_to_db - INFO - Ýlerleme: 1600/3544 (1600 baþarýlý, 0 hata)
2025-05-11 19:07:00,100 - src.api_client.save_to_db - INFO - Ýlerleme: 1700/3544 (1700 baþarýlý, 0 hata)
2025-05-11 19:07:00,410 - src.api_client.save_to_db - INFO - Ýlerleme: 1800/3544 (1800 baþarýlý, 0 hata)
2025-05-11 19:07:00,718 - src.api_client.save_to_db - INFO - Ýlerleme: 1900/3544 (1900 baþarýlý, 0 hata)
2025-05-11 19:07:01,031 - src.api_client.save_to_db - INFO - Ýlerleme: 2000/3544 (2000 baþarýlý, 0 hata)
2025-05-11 19:07:01,336 - src.api_client.save_to_db - INFO - Ýlerleme: 2100/3544 (2100 baþarýlý, 0 hata)
2025-05-11 19:07:01,639 - src.api_client.save_to_db - INFO - Ýlerleme: 2200/3544 (2200 baþarýlý, 0 hata)
2025-05-11 19:07:01,950 - src.api_client.save_to_db - INFO - Ýlerleme: 2300/3544 (2300 baþarýlý, 0 hata)
2025-05-11 19:07:02,253 - src.api_client.save_to_db - INFO - Ýlerleme: 2400/3544 (2400 baþarýlý, 0 hata)
2025-05-11 19:07:02,563 - src.api_client.save_to_db - INFO - Ýlerleme: 2500/3544 (2500 baþarýlý, 0 hata)
2025-05-11 19:07:02,892 - src.api_client.save_to_db - INFO - Ýlerleme: 2600/3544 (2600 baþarýlý, 0 hata)
2025-05-11 19:07:03,188 - src.api_client.save_to_db - INFO - Ýlerleme: 2700/3544 (2700 baþarýlý, 0 hata)
2025-05-11 19:07:03,500 - src.api_client.save_to_db - INFO - Ýlerleme: 2800/3544 (2800 baþarýlý, 0 hata)
2025-05-11 19:07:03,805 - src.api_client.save_to_db - INFO - Ýlerleme: 2900/3544 (2900 baþarýlý, 0 hata)
2025-05-11 19:07:04,117 - src.api_client.save_to_db - INFO - Ýlerleme: 3000/3544 (3000 baþarýlý, 0 hata)
2025-05-11 19:07:04,436 - src.api_client.save_to_db - INFO - Ýlerleme: 3100/3544 (3100 baþarýlý, 0 hata)
2025-05-11 19:07:04,745 - src.api_client.save_to_db - INFO - Ýlerleme: 3200/3544 (3200 baþarýlý, 0 hata)
2025-05-11 19:07:05,049 - src.api_client.save_to_db - INFO - Ýlerleme: 3300/3544 (3300 baþarýlý, 0 hata)
2025-05-11 19:07:05,419 - src.api_client.save_to_db - INFO - Ýlerleme: 3400/3544 (3400 baþarýlý, 0 hata)
2025-05-11 19:07:05,736 - src.api_client.save_to_db - INFO - Ýlerleme: 3500/3544 (3500 baþarýlý, 0 hata)
2025-05-11 19:07:05,884 - src.api_client.save_to_db - INFO - Veritabanýna kayýt tamamlandý: 3544 baþarýlý, 0 hata
